TITLE: Bill of Materials
BOM NO: 05-037760-01-f2.csv
DATE: 04/17/2019
DESIGN: 02_037760f_top
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom
CALLOUT: 

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
 8,2,E007982,CAP CER MULTILAYER NP0 0402," 10pF",C0402,5,50V,N/A,"C57,C102",YAGEO," CC0402JRNP09BN100",REL,A004-0011-015,N/A,N/A,146_BIN2-6A,7002459,?,DNI
 20,2,E035727,CAP CER 33PF 50V 5% C0G 0402," 33PF",C0402,5,50V,N/A,"C67,C84",SAMSUNG," CL05C330JB5NNNC",REL,N/A,N/A,N/A,N/A,N/A,?,DNI
 26,1,E000381,"DO NOT INSTALL (TBD_C0402), PLEASE USE SYM_3 AND/OR SYM_4"," TBD0402",C0402,TBD0402,TBD0402,N/A,CSS,TBD0402," TBD0402",REL,TBD0402,N/A,N/A,N/A,N/A,?,DNI
 36,1,E019864,CONN-PCB HDR 1.27MM P MICRO SMT," FTSH-105-01-L-DV-TR",CNHDR2X5H245,N/A,N/A,N/A,JTAG,SAMTEC," FTSH-105-01-L-DV-TR",REL,N/A,N/A,N/A,N/A,N/A,?,DNI
 46,2,E007502,RES CHIP SMD WW PRECISION POWER," 0",R0603,N/A,N/A,N/A,"R11,R56",VISHAY," CRCW06030000Z0EA",REL,N/A,N/A,N/A,N/A,7000371,?,DNI
 48,1,E004152,RES THIN FILM CHIP," 0",R0805,N/A,N/A,1/10W,R13,MULTICOMP (SPC)," MC 0.1W 0805 0R",REL,N/A,N/A,N/A,N/A,7005370,?,DNI
 57,2,E003760,RES FILM SMD 0402," 100",R0402,1,N/A,1/16W,"R26,R34",VENKEL," CR0402-16W-1000FPT",REL,A003-0035-014,N/A,N/A,749_CAB3,N/A,?,DNI
 72,2,E007883,RES PRECISION THICK FILM CHIP R0603," 100",R0603,1,N/A,1/16W,"R58,R60",MULTICOMP (SPC)," MC 0.063W 0603 1% 100R",REL,N/A,N/A,FEC 9330364,N/A,N/A,?,DNI

